time,Wind speed 100 Hz,RH,Air temperature,Leaf Wetness,Soil conductivity_25cm,Soil conductivity_15cm,Soil conductivity_5cm,Soil temperature_25cm,Soil temperature_15cm,Soil temperature_5cm,Soil moisture_25cm,Soil moisture_15cm,Soil moisture_5cm,Precipitation,Pyranometer
2022-07-27 08:40:00+03:00,0,55.39407,28.05142,0,1436.351,1645.014,2186.943,26.43452,26.22498,23.94179,11.90402,9.941986,2.367133,0,303.0823
2022-07-27 08:50:00+03:00,0,55.26817,28.04379,0,1435.999,1643.23,2196.28,26.45484,26.17398,24.35028,11.90105,9.94819,2.372227,0,332.0745
2022-07-27 09:00:00+03:00,0.041354,54.757,28.60075,0,1436.771,1644.066,2213.495,26.45484,26.17398,24.52037,11.89213,9.938886,2.373503,0,358.9685
2022-07-27 09:10:00+03:00,0.056695,56.40497,28.64653,0,1437.586,1644.637,2215.063,26.45484,26.14849,24.87241,11.89213,9.935788,2.372227,0,391.7754
2022-07-27 09:20:00+03:00,0.216775,53.91776,29.14244,0,1434.853,1644.219,2224.513,26.35101,26.14849,25.30152,11.89213,9.938886,2.369679,0,426.4897
2022-07-27 09:30:00+03:00,0.029348,52.98695,29.04707,0,1434.874,1643.953,2241.931,26.24717,26.11735,25.67857,11.89807,9.929589,2.369679,0,455.291
2022-07-27 09:40:00+03:00,0,47.06645,30.27161,0,1435.27,1644.371,2240.341,26.24717,26.09186,26.11197,11.89807,9.932685,2.367133,0,487.7165
2022-07-27 09:50:00+03:00,0.086043,47.47463,30.82475,0,1434.5,1643.687,2253.077,26.24717,26.02101,26.35152,11.89213,9.926491,2.367133,0,516.1364
2022-07-27 10:00:00+03:00,0.464899,46.83376,30.31358,0,1435.706,1643.687,2270.7,26.24717,26.02101,26.68734,11.88618,9.929589,2.364587,0,542.4582
2022-07-27 10:10:00+03:00,0.510255,53.21202,30.15717,0,1436.514,1643.687,2275.53,26.24717,26.0465,27.07641,11.87727,9.938886,2.364587,0,572.2133
2022-07-27 10:20:00+03:00,0.751709,52.54063,29.69939,0,1436.138,1642.437,2288.451,26.24717,26.04087,27.72067,11.88618,9.926491,2.362044,0,597.2
2022-07-27 10:30:00+03:00,0.578956,52.00275,29.98932,0,1436.138,1644.938,2298.184,26.03949,26.09749,28.34066,11.88915,9.935788,2.353154,0,622.5681
2022-07-27 10:40:00+03:00,0.759046,51.8616,30.17243,0,1434.973,1646.04,2325.973,26.09141,26.12298,29.10403,11.89213,9.917201,2.339224,0,645.4566
2022-07-27 10:50:00+03:00,0.375521,50.72862,30.59586,0,1434.99,1646.189,2344.113,26.03949,26.17398,29.73269,11.88025,9.907913,2.339224,0,670.634
2022-07-27 11:00:00+03:00,0.737035,49.98474,30.88197,0,1435.367,1646.69,2349.087,26.06546,26.17398,30.65633,11.88321,9.932685,2.320308,0,693.1411
2022-07-27 11:10:00+03:00,0.722361,47.26863,30.93156,0,1435.402,1646.04,2397.639,26.01911,26.17398,32.11334,11.87431,9.917201,2.305241,0,706.4927
2022-07-27 11:20:00+03:00,0.703685,48.51987,31.38552,0,1436.204,1645.89,2419.701,26.03949,26.17398,33.26634,11.8654,9.920297,2.269071,0,729.1905
2022-07-27 11:30:00+03:00,0.340837,47.14275,32.38499,0,1436.99,1647.412,2445.389,26.03949,26.35246,34.46198,11.86837,9.911007,2.244325,0,752.2698
2022-07-27 11:40:00+03:00,0.502251,47.58908,32.56809,0,1436.219,1649.623,2469.585,26.01354,26.40345,35.34738,11.86243,9.911007,2.220965,0,772.2972
2022-07-27 11:50:00+03:00,0.775721,42.57648,33.11742,0,1436.204,1648.634,2488.753,25.93566,26.53093,36.36793,11.8654,9.923392,2.197751,0,789.2729
2022-07-27 12:00:00+03:00,1.163915,45.31929,31.91577,0,1436.612,1651.69,2508.054,25.83182,26.58192,37.32681,11.86243,9.911007,2.161393,0,810.2541
2022-07-27 12:10:00+03:00,0.783058,43.30129,32.68253,0,1435.842,1654.333,2532.82,25.83182,26.7094,37.9709,11.8654,9.911007,2.143349,0,826.4667
2022-07-27 12:20:00+03:00,1.458729,43.08004,32.0264,0,1437.019,1652.074,2554.226,25.83182,26.83689,38.63065,11.85947,9.917201,2.117048,0,836.0037
2022-07-27 12:30:00+03:00,1.353343,43.94598,32.65583,0,1436.262,1655.142,2550.643,25.81141,26.96438,39.40878,11.85353,9.907913,2.098042,0,854.696
2022-07-27 12:40:00+03:00,1.065866,41.19936,32.94194,0,1437.032,1656.257,2568.587,25.85778,27.19385,39.9975,11.85057,9.901728,2.072074,0,855.2682
2022-07-27 12:50:00+03:00,0.571619,40.77592,33.75449,0,1438.22,1657.643,2583.021,25.83182,27.37232,40.64131,11.8476,9.911007,2.0428,0,863.2792
2022-07-27 13:00:00+03:00,1.384692,41.70672,33.54086,0,1437.437,1658.182,2586.64,25.83182,27.44881,41.19839,11.84167,9.914103,2.023034,0,880.0641
2022-07-27 13:10:00+03:00,1.570785,41.43969,33.71634,0,1437.84,1658.294,2588.451,25.83182,27.61351,41.72147,11.83871,9.920297,1.996475,0,891.8898
2022-07-27 13:20:00+03:00,1.504085,39.64294,33.19371,0,1438.22,1661.498,2602.991,25.83182,27.78616,42.32553,11.83575,9.920297,1.967843,0,900.6638
2022-07-27 13:30:00+03:00,0.76705,38.80751,34.70817,0,1438.612,1663.746,2610.286,25.83182,27.97056,42.83459,11.82982,9.920297,1.943983,0,909.4377
2022-07-27 13:40:00+03:00,1.322661,39.2462,34.30762,0,1439.787,1665.571,2608.462,25.83182,28.19416,43.40112,11.83278,9.920297,1.92142,0,899.5193
2022-07-27 13:50:00+03:00,1.207937,35.832,34.7425,0,1439.406,1666.54,2613.943,25.83182,28.3336,44.06701,11.83575,9.926491,1.887869,0,932.1355
2022-07-27 14:00:00+03:00,1.473403,33.91318,34.62043,0,1439.787,1664.925,2621.266,25.85778,28.50617,44.46141,11.83278,9.911007,1.866803,0,927.5578
2022-07-27 14:10:00+03:00,1.353343,35.23308,34.59373,0,1440.971,1668.478,2617.602,26.01354,28.66521,44.81395,11.81501,9.907913,1.842586,0,968.9479
2022-07-27 14:20:00+03:00,1.232616,33.93988,35.75342,0,1441.746,1667.718,2610.286,25.93566,28.76586,45.33439,11.81501,9.935788,1.814207,0,952.7352
2022-07-27 14:30:00+03:00,1.502751,36.15244,35.24606,0,1442.138,1669.817,2602.991,26.01911,28.93239,45.68725,11.81205,9.932685,1.786092,0,906.3859
2022-07-27 14:40:00+03:00,1.918292,34.19165,34.5861,0,1441.363,1671.386,2602.991,26.03949,29.09767,45.86394,11.80909,9.932685,1.76785,0,893.7972
2022-07-27 14:50:00+03:00,1.531432,33.05486,35.39483,0,1442.138,1673.661,2581.212,26.03949,29.34064,45.91588,11.81501,9.929589,1.753976,0,894.7509
2022-07-27 15:00:00+03:00,0.835751,33.91699,35.70764,0,1441.354,1674.8,2581.212,26.03949,29.5254,46.08211,11.81797,9.926491,1.734872,0,877.966
2022-07-27 15:10:00+03:00,0.838419,26.63462,36.4744,0,1442.529,1674.466,2568.587,26.09141,29.61429,46.14964,11.82094,9.932685,1.722206,0,867.2847
2022-07-27 15:20:00+03:00,1.464732,26.90929,35.65424,0,1444.089,1673.688,2563.191,26.24717,29.69087,46.28472,11.80021,9.94819,1.707498,0,856.4126
