timestamp,pH,ORP,total_coli,BOD,COD,NO3,temperature
2022-07-21 15:39:45.271000+00:00,,,,,,4.6,
2022-07-21 15:57:45.256000+00:00,7.979999,,,,,,
2022-07-21 16:00:45.243000+00:00,,297.1,,,,,
2022-07-21 16:07:00.696000+00:00,,,,0.0,,,
2022-07-21 16:09:45.218000+00:00,,,,,0.0,,
2022-07-21 16:12:45.206000+00:00,,,,,,4.6,
2022-07-21 16:30:45.173000+00:00,7.949999,,,,,,
2022-07-21 16:34:00.638000+00:00,,296.7,,,,,
2022-07-21 16:36:45.178000+00:00,,,1899.77,,,,
2022-07-21 16:39:45.182000+00:00,,,,0.0,,,
2022-07-21 16:43:00.634000+00:00,,,,,0.0,,
2022-07-21 16:45:45.168000+00:00,,,,,,4.8,
2022-07-21 17:03:45.137000+00:00,7.939999,,,,,,
2022-07-21 17:09:45.124000+00:00,,,2098.76,,,,
2022-07-21 17:12:45.100000+00:00,,,,0.0,,,
2022-07-21 17:16:00.566000+00:00,,,,,0.0,,
2022-07-21 17:19:00.565000+00:00,,,,,,4.9,
2022-07-21 17:37:00.397000+00:00,7.929999,,,,,,
2022-07-21 17:43:00.369000+00:00,,,2047.58,,,,
2022-07-21 17:45:45.060000+00:00,,,,0.0,,,
2022-07-21 17:49:00.361000+00:00,,,,,0.0,,
2022-07-21 17:52:00.504000+00:00,,,,,,4.9,
2022-07-21 18:10:00.320000+00:00,7.919999,,,,,,
2022-07-21 18:15:45.007000+00:00,,,2086.04,,,,
2022-07-21 18:18:45.002000+00:00,,,,0.0,,,
2022-07-21 18:22:00.459000+00:00,,,,,0.0,,
2022-07-21 18:24:44.979000+00:00,,,,,,5.0,
2022-07-21 18:43:00.403000+00:00,7.909999,,,,,,
2022-07-21 18:45:44.916000+00:00,,293.2,,,,,
2022-07-21 18:49:00.401000+00:00,,,1960.08,,,,
2022-07-21 18:52:00.388000+00:00,,,,0.0,,,
2022-07-21 18:54:44.921000+00:00,,,,,0.0,,
2022-07-21 18:57:44.930000+00:00,,,,,,5.1,
2022-07-21 19:21:44.871000+00:00,,,2121.22,,,,
2022-07-21 19:30:44.859000+00:00,,,,,,5.1,
2022-07-21 19:49:00.306000+00:00,7.919999,,,,,,
2022-07-21 19:52:00.262000+00:00,,292.9,,,,,
2022-07-21 19:55:00.117000+00:00,,,1879.45,,,,
2022-07-21 19:58:00.178000+00:00,,,,0.0,,,
2022-07-21 20:00:44.808000+00:00,,,,,0.0,,
2022-07-21 20:22:00.066000+00:00,7.939999,,,,,,
2022-07-21 20:24:44.744000+00:00,,292.9,,,,,
2022-07-21 20:27:44.752000+00:00,,,1921.72,,,,
2022-07-21 20:31:00.065000+00:00,,,,0.0,,,
2022-07-21 20:33:44.716000+00:00,,,,,0.0,,
2022-07-21 20:36:44.747000+00:00,,,,,,5.2,
2022-07-21 20:55:00.157000+00:00,7.9,,,,,,
2022-07-21 20:58:00.167000+00:00,,291.9,,,,,
2022-07-21 21:00:44.700000+00:00,,,2080.21,,,,
2022-07-21 21:04:00+00:00,,,,0.0,,,
2022-07-21 21:09:59.977000+00:00,,,,,,5.2,
2022-07-21 21:30:44.637000+00:00,,291.0,,,,,
2022-07-21 21:33:59.951000+00:00,,,2049.94,,,,
2022-07-21 21:37:00.067000+00:00,,,,0.0,,,
2022-07-21 21:42:44.626000+00:00,,,,,,5.1,
2022-07-21 21:46:00.053000+00:00,,,,,,,0.35
2022-07-21 22:06:59.865000+00:00,,,2159.64,,,,
2022-07-21 22:09:59.864000+00:00,,,,0.0,,,
2022-07-21 22:12:59.888000+00:00,,,,,0.0,,
2022-07-21 22:15:59.879000+00:00,,,,,,5.2,
2022-07-21 22:33:44.522000+00:00,7.909999,,,,,,
2022-07-21 22:36:44.534000+00:00,,290.5,,,,,
2022-07-21 22:39:59.831000+00:00,,,2048.64,,,,
2022-07-21 22:42:59.797000+00:00,,,,0.0,,,
2022-07-21 22:45:44.508000+00:00,,,,,0.0,,
