timestamp,soil-bulk-ec0-uS/cm,soil-moisture0-%,soil-temperature0-C
2022-05-24 15:04:24.836000+00:00,84.0,11.46,28.1
2022-05-24 15:09:04.847000+00:00,85.0,11.47,28.1
2022-05-24 15:13:55.036000+00:00,84.0,11.46,28.1
2022-05-24 15:18:45.844000+00:00,84.0,11.45,28.0
2022-05-24 15:23:36.834000+00:00,82.0,11.46,28.0
2022-05-24 15:29:04.023000+00:00,84.0,11.45,28.0
2022-05-24 15:33:55.846000+00:00,83.0,11.45,28.0
2022-05-24 15:38:47.599000+00:00,84.0,11.46,28.0
2022-05-24 15:44:06.842000+00:00,84.0,11.45,28.0
2022-05-24 15:49:03.031000+00:00,83.0,11.47,27.9
2022-05-24 15:53:56.838000+00:00,83.0,11.46,27.9
2022-05-24 15:58:59.839000+00:00,83.0,11.47,27.9
2022-05-24 16:03:48.024000+00:00,84.0,11.45,27.8
2022-05-24 16:08:42.031000+00:00,83.0,11.46,27.8
2022-05-24 16:13:40.074000+00:00,83.0,11.45,27.7
2022-05-24 16:19:04.019000+00:00,81.0,11.45,27.7
2022-05-24 16:24:16.826000+00:00,82.0,11.46,27.7
2022-05-24 16:29:36.832000+00:00,84.0,11.45,27.6
2022-05-24 16:34:24.832000+00:00,82.0,11.45,27.5
2022-05-24 16:39:04.024000+00:00,83.0,11.45,27.5
2022-05-24 16:44:23.830000+00:00,83.0,11.45,27.5
2022-05-24 16:49:03.027000+00:00,83.0,11.45,27.4
2022-05-24 16:54:16.021000+00:00,83.0,11.45,27.4
2022-05-24 16:59:07.834000+00:00,83.0,11.45,27.3
2022-05-24 17:04:30.026000+00:00,82.0,11.45,27.3
2022-05-24 17:09:39.029000+00:00,83.0,11.45,27.2
2022-05-24 17:14:41.827000+00:00,83.0,11.47,27.2
2022-05-24 17:19:29.019000+00:00,83.0,11.46,27.1
2022-05-24 17:24:04.830000+00:00,82.0,11.45,27.1
2022-05-24 17:28:55.002000+00:00,82.0,11.44,27.0
2022-05-24 17:34:09.828000+00:00,84.0,11.46,27.0
2022-05-24 17:38:49.823000+00:00,83.0,11.45,26.9
2022-05-24 17:44:10.997000+00:00,83.0,11.45,26.9
2022-05-24 17:48:57.823000+00:00,81.0,11.44,26.9
2022-05-24 17:59:47.999000+00:00,83.0,11.45,26.8
2022-05-24 18:04:43.818000+00:00,84.0,11.43,26.7
2022-05-24 18:09:34.006000+00:00,83.0,11.44,26.7
2022-05-24 18:14:10.004000+00:00,82.0,11.44,26.7
2022-05-24 18:19:01.816000+00:00,82.0,11.44,26.6
2022-05-24 18:24:23.010000+00:00,83.0,11.44,26.6
2022-05-24 18:29:33.005000+00:00,82.0,11.45,26.5
2022-05-24 18:34:21.004000+00:00,83.0,11.46,26.5
2022-05-24 18:39:40.810000+00:00,83.0,11.45,26.4
2022-05-24 18:44:14.004000+00:00,83.0,11.45,26.3
2022-05-24 18:49:35+00:00,82.0,11.45,26.3
2022-05-24 18:54:17.001000+00:00,83.0,11.45,26.2
2022-05-24 18:59:19.817000+00:00,83.0,11.44,26.2
2022-05-24 19:04:39.010000+00:00,82.0,11.44,26.1
2022-05-24 19:09:59.997000+00:00,83.0,11.44,26.0
2022-05-24 19:14:51.008000+00:00,84.0,11.46,26.0
2022-05-24 19:20:10.002000+00:00,82.0,11.44,25.9
2022-05-24 19:25:20.808000+00:00,82.0,11.44,25.9
2022-05-24 19:30:35.004000+00:00,82.0,11.44,25.8
2022-05-24 19:35:33.011000+00:00,82.0,11.46,25.7
2022-05-24 19:40:37.808000+00:00,84.0,11.46,25.6
2022-05-24 19:46:06.817000+00:00,83.0,11.44,25.6
2022-05-24 19:51:01.805000+00:00,82.0,11.44,25.6
2022-05-24 19:55:44.800000+00:00,83.0,11.44,25.5
2022-05-24 20:01:02.992000+00:00,82.0,11.45,25.4
2022-05-24 20:05:58.994000+00:00,82.0,11.45,25.4
2022-05-24 20:11:03.984000+00:00,84.0,11.43,25.3
2022-05-24 20:15:34.799000+00:00,82.0,11.44,25.2
2022-05-24 20:20:29.802000+00:00,81.0,11.44,25.2
2022-05-24 20:25:24.990000+00:00,83.0,11.44,25.1
2022-05-24 20:30:15.808000+00:00,82.0,11.45,25.1
2022-05-24 20:35:06.798000+00:00,81.0,11.46,25.0
2022-05-24 20:40:01.794000+00:00,82.0,11.45,25.0
2022-05-24 20:44:50.795000+00:00,83.0,11.44,24.9
2022-05-24 20:49:56.798000+00:00,82.0,11.44,24.8
2022-05-24 20:55:14.805000+00:00,82.0,11.43,24.8
2022-05-24 21:00:12.993000+00:00,83.0,11.44,24.7
2022-05-24 21:05:25.999000+00:00,82.0,11.44,24.7
2022-05-24 21:10:39.802000+00:00,82.0,11.44,24.6
2022-05-24 21:15:47.794000+00:00,82.0,11.44,24.6
2022-05-24 21:21:13.997000+00:00,82.0,11.46,24.5
2022-05-24 21:26:02.993000+00:00,82.0,11.45,24.4
2022-05-24 21:30:54.795000+00:00,83.0,11.44,24.4
2022-05-24 21:35:53.999000+00:00,83.0,11.44,24.3
2022-05-24 21:41:20.795000+00:00,82.0,11.45,24.3
2022-05-24 21:46:01.806000+00:00,82.0,11.44,24.2
2022-05-24 21:51:00.981000+00:00,81.0,11.47,24.1
2022-05-24 21:56:05.982000+00:00,82.0,11.44,24.1
2022-05-24 22:01:18.794000+00:00,81.0,11.44,24.0
2022-05-24 22:06:01.985000+00:00,81.0,11.44,24.0
2022-05-24 22:11:16.799000+00:00,81.0,11.45,23.9
2022-05-24 22:15:57.979000+00:00,81.0,11.45,23.8
2022-05-24 22:20:46.801000+00:00,81.0,11.45,23.8
2022-05-24 22:26:04.981000+00:00,83.0,11.45,23.8
2022-05-24 22:31:00.986000+00:00,82.0,11.47,23.7
2022-05-24 22:35:47.072000+00:00,81.0,11.45,23.6
2022-05-24 22:40:59.799000+00:00,81.0,11.45,23.5
2022-05-24 22:45:47.800000+00:00,81.0,11.45,23.5
2022-05-24 22:50:56.804000+00:00,81.0,11.45,23.5
2022-05-24 22:55:47.989000+00:00,81.0,11.45,23.4
2022-05-24 23:01:02.802000+00:00,81.0,11.44,23.4
2022-05-24 23:06:20.799000+00:00,82.0,11.43,23.2
2022-05-24 23:11:14.998000+00:00,82.0,11.47,23.2
2022-05-24 23:16:40.996000+00:00,82.0,11.46,23.1
2022-05-24 23:21:16.806000+00:00,81.0,11.45,23.1
2022-05-24 23:26:30.801000+00:00,82.0,11.44,23.1
2022-05-24 23:31:26.804000+00:00,81.0,11.45,23.0
2022-05-24 23:36:18.993000+00:00,82.0,11.44,23.0
2022-05-24 23:41:09.999000+00:00,82.0,11.46,22.9
2022-05-24 23:46:00.001000+00:00,80.0,11.46,22.8
2022-05-24 23:51:12.807000+00:00,83.0,11.46,22.8
2022-05-24 23:56:04.981000+00:00,82.0,11.46,22.7
2022-05-25 00:00:37.987000+00:00,82.0,11.45,22.7
2022-05-25 00:05:47.531000+00:00,82.0,11.45,22.7
2022-05-25 00:10:28.806000+00:00,82.0,11.45,22.6
2022-05-25 00:15:16.804000+00:00,83.0,11.46,22.6
2022-05-25 00:20:07.807000+00:00,82.0,11.45,22.5
2022-05-25 00:24:47.804000+00:00,82.0,11.45,22.5
2022-05-25 00:30:02.796000+00:00,82.0,11.45,22.4
2022-05-25 00:34:41.800000+00:00,82.0,11.46,22.4
2022-05-25 00:39:42.991000+00:00,82.0,11.45,22.3
2022-05-25 00:44:32.809000+00:00,82.0,11.45,22.3
