timestamp,ndvi-nir-out0-W/m2,ndvi-red-out0-W/m2,ndvi0
2022-06-10 14:08:01.003000+00:00,0.008,0.016,-0.333
2022-06-10 14:08:08.004000+00:00,0.008,0.016,-0.333
2022-06-10 14:08:08.005000+00:00,0.008,0.016,-0.333
2022-06-10 14:08:15.029000+00:00,0.008,0.016,-0.333
2022-06-10 14:23:15.791000+00:00,0.007,0.014,-0.333
2022-06-10 14:23:22.812000+00:00,0.007,0.014,-0.333
2022-06-10 14:23:29.854000+00:00,0.007,0.014,-0.333
2022-06-10 14:37:51.810000+00:00,0.007,0.014,-0.333
2022-06-10 14:37:51.823000+00:00,0.007,0.014,-0.333
2022-06-10 14:37:58.828000+00:00,0.007,0.014,-0.333
2022-06-10 14:38:05.866000+00:00,0.007,0.014,-0.333
2022-06-10 14:52:50.011000+00:00,0.007,0.015,-0.364
2022-06-10 14:52:57.044000+00:00,0.007,0.015,-0.364
2022-06-10 14:53:04.069000+00:00,0.007,0.015,-0.364
2022-06-10 15:07:42.012000+00:00,0.007,0.015,-0.364
2022-06-10 15:07:49.041000+00:00,0.007,0.015,-0.364
2022-06-10 15:07:49.043000+00:00,0.007,0.015,-0.364
2022-06-10 15:07:56.073000+00:00,0.007,0.015,-0.364
2022-06-10 15:07:56.077000+00:00,0.007,0.015,-0.364
2022-06-10 15:22:48.872000+00:00,0.008,0.016,-0.333
2022-06-10 15:22:55.895000+00:00,0.008,0.016,-0.333
2022-06-10 15:22:55.900000+00:00,0.008,0.016,-0.333
2022-06-10 15:37:51.852000+00:00,0.009,0.017,-0.308
2022-06-10 15:37:51.855000+00:00,0.009,0.017,-0.308
2022-06-10 15:37:58.900000+00:00,0.009,0.017,-0.308
2022-06-10 15:38:05.911000+00:00,0.009,0.017,-0.308
2022-06-10 15:52:57.038000+00:00,0.008,0.017,-0.36
2022-06-10 15:53:04.081000+00:00,0.008,0.017,-0.36
2022-06-10 15:53:11.114000+00:00,0.008,0.017,-0.36
2022-06-10 16:07:40.866000+00:00,0.008,0.016,-0.333
2022-06-10 16:07:47.885000+00:00,0.008,0.016,-0.333
2022-06-10 16:07:54.926000+00:00,0.008,0.016,-0.333
2022-06-10 16:22:28.064000+00:00,0.008,0.015,-0.304
2022-06-10 16:22:28.065000+00:00,0.008,0.015,-0.304
2022-06-10 16:22:35.092000+00:00,0.008,0.015,-0.304
2022-06-10 16:22:35.093000+00:00,0.008,0.015,-0.304
2022-06-10 16:22:42.131000+00:00,0.008,0.015,-0.304
2022-06-10 16:37:20.042000+00:00,0.008,0.015,-0.304
2022-06-10 16:37:20.043000+00:00,0.008,0.015,-0.304
2022-06-10 16:37:26.926000+00:00,0.008,0.015,-0.304
2022-06-10 16:37:26.927000+00:00,0.008,0.015,-0.304
2022-06-10 16:37:33.951000+00:00,0.008,0.015,-0.304
2022-06-10 16:37:33.953000+00:00,0.008,0.015,-0.304
2022-06-10 16:52:37.079000+00:00,0.008,0.017,-0.36
2022-06-10 16:52:37.084000+00:00,0.008,0.017,-0.36
2022-06-10 16:52:44.100000+00:00,0.008,0.017,-0.36
2022-06-10 16:52:44.104000+00:00,0.008,0.017,-0.36
2022-06-10 16:52:51.178000+00:00,0.008,0.017,-0.36
2022-06-10 17:07:08.092000+00:00,0.008,0.016,-0.333
2022-06-10 17:07:15.112000+00:00,0.008,0.016,-0.333
2022-06-10 17:07:22.148000+00:00,0.008,0.016,-0.333
2022-06-10 17:22:19.104000+00:00,0.009,0.017,-0.308
2022-06-10 17:22:26.141000+00:00,0.009,0.017,-0.308
2022-06-10 17:22:26.144000+00:00,0.009,0.017,-0.308
2022-06-10 17:22:33.150000+00:00,0.009,0.017,-0.308
2022-06-10 17:37:29.927000+00:00,0.007,0.015,-0.364
2022-06-10 17:37:36.958000+00:00,0.007,0.015,-0.364
2022-06-10 17:37:43.976000+00:00,0.007,0.015,-0.364
2022-06-10 17:52:35.950000+00:00,0.007,0.014,-0.333
2022-06-10 17:52:42.971000+00:00,0.007,0.014,-0.333
2022-06-10 17:52:49.999000+00:00,0.007,0.014,-0.333
2022-06-10 18:07:15.960000+00:00,0.007,0.013,-0.3
2022-06-10 18:07:22.971000+00:00,0.007,0.013,-0.3
2022-06-10 18:07:29.959000+00:00,0.007,0.013,-0.3
2022-06-10 18:22:28.146000+00:00,0.007,0.014,-0.333
2022-06-10 18:22:35.167000+00:00,0.007,0.014,-0.333
2022-06-10 18:22:42.208000+00:00,0.007,0.014,-0.333
2022-06-10 18:37:27.978000+00:00,0.007,0.013,-0.3
2022-06-10 18:37:35.008000+00:00,0.007,0.013,-0.3
2022-06-10 18:37:42.039000+00:00,0.007,0.013,-0.3
2022-06-10 18:52:25.186000+00:00,0.007,0.013,-0.3
2022-06-10 18:52:32.210000+00:00,0.007,0.013,-0.3
2022-06-10 18:52:39.238000+00:00,0.007,0.013,-0.3
2022-06-10 19:07:13.203000+00:00,0.007,0.014,-0.333
2022-06-10 19:07:20.215000+00:00,0.007,0.014,-0.333
2022-06-10 19:07:27.254000+00:00,0.007,0.014,-0.333
2022-06-10 19:22:41.027000+00:00,0.007,0.013,-0.3
2022-06-10 19:22:48.065000+00:00,0.007,0.013,-0.3
2022-06-10 19:22:55.067000+00:00,0.007,0.013,-0.3
2022-06-10 19:37:44.053000+00:00,0.007,0.013,-0.3
2022-06-10 19:37:51.051000+00:00,0.007,0.013,-0.3
2022-06-10 19:37:58.094000+00:00,0.007,0.013,-0.3
2022-06-10 19:52:25.036000+00:00,0.007,0.014,-0.333
2022-06-10 19:52:32.063000+00:00,0.007,0.014,-0.333
2022-06-10 19:52:39.107000+00:00,0.007,0.014,-0.333
2022-06-10 20:07:25.248000+00:00,0.007,0.014,-0.333
2022-06-10 20:07:32.276000+00:00,0.007,0.014,-0.333
2022-06-10 20:07:39.299000+00:00,0.007,0.014,-0.333
2022-06-10 20:22:24.061000+00:00,0.007,0.014,-0.333
2022-06-10 20:22:31.090000+00:00,0.007,0.014,-0.333
