name,time,actual_average_humidity,actual_average_pressure,actual_average_temperature,actual_max_temperature,actual_min_temperature,average_accuracy,average_humidity,average_humidity_accuracy,average_humidity_accuracy_max,average_humidity_pressure_max,average_pressure,average_pressure_accuracy,average_temperature_accuracy,average_temperature_accuracy_max,average_temperature_diff,forecasted_average_humidity,forecasted_average_pressure,forecasted_average_temperature,forecasted_max_temperature,forecasted_min_temperature,max_temperature,max_temperature_accuracy,max_temperature_accuracy_max,min_temperature,min_temperature_accuracy,min_temperature_accuracy_max
wunder_diffs,2022-03-17T00:00:00Z,46.458333333333336,1023.7916666666666,6.245000000000001,13.62,0.62,99.98851974640088,0.011309417040358743,99.98869058295963,false,true,0.0006970330877864151,99.99930296691221,99.99,false,0.01,99,952.43,0,1,-1,0.009265785609397944,99.9907342143906,false,0.026129032258064518,99.97387096774193,false
wunder_diffs,2022-03-18T00:00:00Z,60.458333333333336,1024.9166666666667,6.911666666666669,12.62,3.62,99.99695616791612,0.005382494831150929,99.99461750516885,false,true,0.0007754451581429387,99.99922455484186,99.99723414516518,false,0.0027658548348203547,93,945.44,5,6,4,0.005245641838351822,99.99475435816164,false,0.0010497237569060771,99.9989502762431,false
wunder_diffs,2022-03-19T00:00:00Z,95.41666666666667,1031.625,1.1291666666666675,3.62,-0.38,99.97558287017299,0.00037554585152838374,99.99962445414847,true,false,0.0007637949836423115,99.99923620501636,99.97457564575646,false,0.025424354243542408,99,952.83,4,6,3,0.006574585635359116,99.99342541436464,false,0.08894736842105262,99.91105263157895,false
wunder_diffs,2022-03-20T00:00:00Z,76.79166666666667,1034.375,-0.38000000000000006,2.62,-3.38,99.99013060862838,0.0028920238741182848,99.99710797612587,false,true,0.000731311178247734,99.99926868882176,99.96368421052631,false,0.036315789473684204,99,958.73,1,2,-1,0.0023664122137404585,99.99763358778625,false,0.007041420118343195,99.99295857988166,false
wunder_diffs,2022-03-21T00:00:00Z,46.833333333333336,1033.75,-0.2966666666666663,3.62,-4.38,99.98979625437822,0.011138790035587187,99.98886120996441,false,true,0.000738282950423217,99.99926171704958,99.97629213483147,false,0.023707865168539368,99,957.43,-1,0,-2,0.01,99.99,false,0.005433789954337899,99.99456621004566,false
wunder_diffs,2022-03-22T00:00:00Z,38.666666666666664,1029.9166666666667,0.6616666666666673,6.62,-4.38,99.97899771960837,0.01560344827586207,99.98439655172413,false,true,0.0007242009871348818,99.99927579901286,99.92954659949622,false,0.07045340050377828,99,955.33,-4,-3,-6,0.014531722054380665,99.98546827794561,false,0.0036986301369863017,99.99630136986302,false
wunder_diffs,2022-03-23T00:00:00Z,32.125,1025.5833333333333,5.953333333333334,12.62,-1.38,99.98851494161761,0.020817120622568092,99.97918287937743,false,true,0.0007171853416754688,99.99928281465833,99.98664053751399,false,0.01335946248600224,99,952.03,-2,-1,-3,0.010792393026941363,99.98920760697305,false,0.01173913043478261,99.98826086956522,false
wunder_diffs,2022-03-24T00:00:00Z,29.875,1024,7.536666666666669,13.62,0.62,99.97665236015277,0.00907949790794979,99.99092050209205,false,false,0.0007486328124999997,99.9992513671875,99.99938522777532,true,0.0006147722246793424,57,947.34,8,9,7,0.0033920704845814974,99.99660792951542,false,0.10290322580645161,99.89709677419354,false
wunder_diffs,2022-03-25T00:00:00Z,23.666666666666668,1023.125,9.620000000000003,16.62,1.62,99.9928009526103,0.014507042253521124,99.98549295774647,false,true,0.0007377886377519855,99.99926221136225,99.99415800415801,false,0.005841995841995844,58,947.64,4,6,3,0.0063898916967509035,99.99361010830324,false,0.008518518518518517,99.99148148148149,false
wunder_diffs,2022-03-26T00:00:00Z,21.916666666666668,1022,11.536666666666669,18.62,3.62,99.99313124918649,0.018288973384030415,99.98171102661597,false,true,0.0007471624266144816,99.99925283757338,99.99433400751228,false,0.005665992487720313,62,945.64,5,9,2,0.0051664876476906554,99.99483351235232,false,0.004475138121546962,99.99552486187845,false
wunder_diffs,2022-03-27T00:00:00Z,33.666666666666664,1026.7916666666667,10.120000000000003,16.62,4.62,99.99793395543722,0.004257425742574259,99.99574257425742,false,true,0.0007620987704419116,99.99923790122956,99.99889328063242,false,0.0011067193675889354,48,948.54,9,11,5,0.0033814681107099884,99.9966185318893,false,0.0008225108225108223,99.99917748917748,false
wunder_diffs,2022-03-28T00:00:00Z,42.333333333333336,1027.5416666666667,10.620000000000003,18.62,3.62,99.99454927745705,0.013385826771653541,99.98661417322835,false,true,0.0007485016828190267,99.99925149831718,99.99470809792844,false,0.00529190207156309,99,950.63,5,6,4,0.006777658431793771,99.99322234156821,false,0.0010497237569060771,99.9989502762431,false
wunder_diffs,2022-03-29T00:00:00Z,54.166666666666664,1023.6666666666666,8.807500000000003,13.12,4.62,99.99626702786,0.007353846153846155,99.99264615384615,false,true,0.0007144578313253012,99.99928554216868,99.99681237581606,false,0.003187624183934149,94,950.53,6,8,3,0.0039024390243902435,99.99609756097561,false,0.0035064935064935067,99.99649350649351,false
wunder_diffs,2022-03-30T00:00:00Z,59.208333333333336,1016.625,9.495000000000003,16.62,2.62,99.99560810591319,0.0067206192821956355,99.99327938071781,false,true,0.0006952907906061719,99.9993047092094,99.99421274354924,false,0.005787256450763561,99,945.94,4,6,2,0.0063898916967509035,99.99361010830324,false,0.0023664122137404585,99.99763358778625,false
wunder_diffs,2022-03-31T00:00:00Z,46.5,1012.125,11.161666666666669,17.62,3.62,99.99525547303914,0.01129032258064516,99.98870967741935,false,true,0.0007308879832036559,99.99926911201679,99.99537554128715,false,0.0046244587128565036,99,938.15,6,7,4,0.006027241770715097,99.99397275822929,false,0.0010497237569060771,99.9989502762431,false
wunder_diffs,2022-04-01T00:00:00Z,68,990.9583333333334,12.205,18.38,7.62,99.99738919396898,0.004264705882352941,99.99573529411765,false,true,0.0005662027498633479,99.99943379725013,99.9973740270381,false,0.0026259729619008605,97,934.85,9,12,6,0.0034711643090315557,99.99652883569097,false,0.0021259842519685043,99.99787401574802,false
